#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Especialidad,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
5,Forastero Chivastian,Av. Manuel Ávila Camacho 1800,4.6,$25–$35 c/taco,Barbacoa de alta calidad,https://www.google.com/maps/search/Forastero%20Chivastian%20Av.%20Manuel%20%C3%81vila%20Camacho%201800%20Guadalajara,"
+52 33 3839 4401","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJyJfOBIT3eKtFmApQqNYU_occQ4SykJGVPv9IsDwUZ8sk95TebaPVQ4X05_lixUrm6yOvlrWyFitMc_i_aonQYaryypYKbu_H3v4LkmG-PS5eNR_mutylO4OI7uYsO6pLTWgViA=w1000-h1000-k-no,N/A,false,2969,,,
29,Tacos El Abuelo,Colonia Miravalle,4.3,$18–$22 c/taco,Precio económico y alta rotación,"https://www.google.com/maps/place/Birrieria+El+Abuelo/@20.6787607,-103.3928568,13z/data=!4m10!1m2!2m1!1sTacos+El+Abuelo+Guadalajara!3m6!1s0x8428adcdf1545849:0x465b5da533033c27!8m2!3d20.6787607!4d-103.320759!15sChtUYWNvcyBFbCBBYnVlbG8gR3VhZGFsYWphcmFaHSIbdGFjb3MgZWwgYWJ1ZWxvIGd1YWRhbGFqYXJhkgERZmFtaWx5X3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmlYeTFETVVsbkVBReABAPoBBQigARA8!16s%2Fg%2F11rzdlbpk9?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3nqutDxD2lsKsOGsQIOi_fWTyhG_krBBscgDidkSTrpJFa6IgX8zpGgvd_UsTZW7A3sSlD5P7JK1oZY8S9IkD4IQfq8XcLlzma9rsvvCdZIqq96OyD9OVQn_QncVMR-o__nZI=w800-h800-k-no,N/A,false,2798,N/A,N/A,N/A
4,Tacos Luis,Federico E. Ibarra 1077,4.7,$22–$30 c/taco,"2,700+ votos; sabor tapatío","https://www.google.com/maps/place/Tacos+Luis/@20.7100103,-103.3483011,17z/data=!3m1!4b1!4m6!3m5!1s0x8428b1d28e798327:0x791cca91a42cffd6!8m2!3d20.7100103!4d-103.3483011!16s%2Fg%2F11bvt3n3qx?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 2226 6631","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvr-oFxZ5jgedm-hUvfeYcUitdm5GPF9NYS_-205YjHOnti9F2npUsugaKE2YF7UVD9OaFqZUiGQQyfCOFj2-AmGUQMqlue7p_Ic3qExGce2pbbGC7riNO34-_GII2gubFim14Nw=w1000-h1000-k-no,N/A,false,2738,,,
8,Taquería México,José María Morelos 1833,4.6,$20–$28 c/taco,"2,500+ votos; céntrico y rápido","https://www.google.com/maps/place/Taquer%C3%ADa+M%C3%A9xico/@20.6758322,-103.3721838,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae1a78d50e85:0x8dea3efd5ad53a0e!8m2!3d20.6758322!4d-103.3721838!16s%2Fg%2F1vyxjr1j?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 3615 5068","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2iY9SvOYDDNgsdCdk1IRdAzuubFD9TKsviCARYQ-b4vi5OnpArJXxGL2Ok9FvEd3j8MBlXX1jX5M4sGXRtBVeBqUZVNdu7rn64h8uvtW9F7np-ou7XeipWeQrNGlgqfttannL=w1000-h1000-k-no,N/A,false,17727,N/A,N/A,N/A
9,Tacos Chava,Manuel Acuña 1554,4.7,$22–$28 c/taco,"2,000+ votos; barbacoa dorada","https://www.google.com/maps/place/Tacos+Chava/@20.684332,-103.3695941,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae19d31d89ad:0xf1d8c9c94dfad3c!8m2!3d20.684332!4d-103.3695941!16s%2Fg%2F11bwnrbmpt?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 1026 7263","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFErgJl1cjxYhuaX2Qxe_gXVZdaeQnqDMhLpZl2sqrE4pTzrpsMn6N1s3tkPQWjAwqhN3GpIxs3tZzOrmg8nUSBuCy48Qt9i2zfRTAtC8KRUj1QX6FkSKjoQ9YLrG2T9X6k0Dfe4aUCX-4=w1000-h1000-k-no,N/A,false,2051,,,
7,Tacos Luis (2),Av. Patria 2690,4.7,$22–$30 c/taco,Referente en el sur de Zapopan,"https://www.google.com/maps/place/Tacos+Don+Luis/@20.7134051,-103.3746925,17z/data=!3m1!4b1!4m6!3m5!1s0x8428afcc663bfb31:0x9edb33d33b589ac2!8m2!3d20.7134051!4d-103.3746925!16s%2Fg%2F11b6sr2j15?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 1869 1379","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.facebook.com/tacosdonluispatria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzQkjjbQRyycemCfAhJnw_yJoXpGzi1-LUyCU-8iWkNQJkUbpeReTSVxkOEtYi89iA15o4Pp9iJ9yyAGolhSoK-c7oG9Z7jKoO7mM5q0Ym4IdjGlYIzT9r9f1C26SNaHbEXTHq=w1000-h1000-k-no,N/A,false,1544,,,
17,Tacos El Cunado,"Chapalita, Zapopan",4.6,$22–$30 c/taco,Cabeza y labio al vapor,"https://www.google.com/maps/place/TACOS+DE+BIRRIA+%22EL+CU%C3%91ADO%22/@20.6365937,-103.59005,12z/data=!3m1!5s0x8428ac0b6459a62b:0xb033f4f3487ecc22!4m10!1m2!2m1!1sTacos+El+Cunado+Chapalita,+Zapopan+Guadalajara+Jalisco!3m6!1s0x8428ad3a06c23f3b:0x7d118811a7c6d402!8m2!3d20.6365937!4d-103.4458544!15sCjZUYWNvcyBFbCBDdW5hZG8gQ2hhcGFsaXRhLCBaYXBvcGFuIEd1YWRhbGFqYXJhIEphbGlzY29aNyI1dGFjb3MgZWwgY3VuYWRvIGNoYXBhbGl0YSB6YXBvcGFuIGd1YWRhbGFqYXJhIGphbGlzY2-SAQ90YWNvX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmtlVXMzVWxsM0VBReABAPoBBAgAEEA!16s%2Fg%2F11q25rb932?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-WujD2yklxg4TPnyDlkKX4Nk26A9ACYJBSyj_il6o2jJkSxr69j35m-SsP0h0LgsJGy8Qftxksm4aceyQ46_5_zpPziTqqOPcVEUDFP_gZfmMKgIDAwMniSOfiX5tyRaRdX14tg=w800-h800-k-no,N/A,false,1406,N/A,N/A,N/A
28,Tacos Los Amigos,"Bugambilias, Zapopan",4.6,$20–$28 c/taco,Carne de calidad y buen servicio,https://www.google.com/maps/search/Tacos%20Los%20Amigos%20Bugambilias%2C%20Zapopan%20Guadalajara,N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdjYOUrGVA5dpr-hf0xDyEv_zlowgDKjwueEVynMfSa0M0jnbuE9SvgR0Pih9a_nW94gu-4IuJlj_EyzOMt935_GZQitFT0NEPcN9DlobC48vnr4r9LJQT7KOJy2zYYcYod6jcfw=w1000-h1000-k-no,N/A,false,1389,N/A,N/A,N/A
19,Tacos Los Migueles,"Av. Patria, Zapopan",4.6,$20–$28 c/taco,Cortes de bistec y pastor,"https://www.google.com/maps/place/Tacos+Los+Migueles+Contry/@25.6393709,-104.8848152,7z/data=!4m10!1m2!2m1!1sTacos+Los+Migueles+Guadalajara!3m6!1s0x8662bf84c4cdba01:0xcfe305352982a175!8m2!3d25.6393709!4d-100.2705574!15sCh5UYWNvcyBMb3MgTWlndWVsZXMgR3VhZGFsYWphcmFaICIedGFjb3MgbG9zIG1pZ3VlbGVzIGd1YWRhbGFqYXJhkgEPdGFjb19yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4V1lWSkdXbXhoUnpsdVYxVTVkVlJ1VWtsVk1IQm1XVE5rY21KdVl4QULgAQD6AQQIABBE!16s%2Fg%2F1tls381j?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","
+52 33 1602 1082",N/A,https://www.facebook.com/TacosMoyPatria/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZSWVdD3BYF02PJRHCch9vhXxQA8GGdy_LMTwh_5Ez-gPZQJkOHVPudnRRVsu367tKZPo7kLuZjLU1rtHjzbrxbzfIuUcUEahWphSEkPdD98mJdI6pFCgtqEdpGafip0YSezUU=w800-h800-k-no,N/A,false,1364,N/A,N/A,N/A
21,Tacos El Primo,"Santa Anita, Tlajomulco",4.4,$18–$25 c/taco,Estilo rural con tortillas a mano,https://www.google.com/maps/search/Tacos%20El%20Primo%20Santa%20Anita%2C%20Tlajomulco%20Guadalajara,"
+52 33 1544 4838",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeHmMB7M400ijvbLgA9FwYnovmqBHczlf7lKXK_7Yk2IYh6elC0XvznFraYMw05ZcNnP9Z1-kWQsyIbWyNtWh3GtPDtbdU-LJb5fU-a0M7Ah8JcNZS0-lUInaTPUaio1zl-ShN5A=w1000-h1000-k-no,N/A,false,1219,N/A,N/A,N/A
11,Tacos Estadio,Calz. Federalismo Norte 3145,4.5,$20–$28 c/taco,Estilo Ciudad de México en Gdl,https://www.google.com/maps/search/Tacos%20Estadio%20Calz.%20Federalismo%20Norte%203145%20Guadalajara,"
+52 33 3230 4234","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSq6p8yvu8kqQfLmH-EW8A2dnOV5GG_9qKc0RXkGO14rLkIokZJ7ZET-705E9Ayscqo5KqDPkNmWGa_ad337cvL0Nh9bXT2j0S5pNLfCuDu5kffGN7YakKMcgB5XX15mKucsjO=w1000-h1000-k-no,N/A,false,1167,N/A,N/A,N/A
10,Los Gallitos,"Félix Palavicini, Santa Elena",4.7,$22–$30 c/taco,Tacos de guisado muy populares,https://www.google.com/maps/search/Los%20Gallitos%20F%C3%A9lix%20Palavicini%2C%20Santa%20Elena%20Guadalajara,"
+52 33 4711 8073","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8MAIFbcQN9hnY5DQgJAYSDetpu3m_vGDOhiVERP9R6P6q-OHuBl1tIQGwdwgBprXASckEqdd7UQXIaTK1HYKasGmAnaPpUolQRezP97hjyFmvh6y-FAsLqpaSTE8jeCElswUAlQ=w1000-h1000-k-no,N/A,false,1073,,,
24,Tacos El Patrón,Real de Valdepeñas,4.2,$28–$40 c/taco,Concepto moderno y familiar,https://www.google.com/maps/search/Tacos%20El%20Patr%C3%B3n%20Real%20de%20Valdepe%C3%B1as%20Guadalajara,"
+52 999 452 8592","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/lostacosdelpatronmid/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF09ysIKy-NywZBDxNNaRSimrekWD3fLpCW_e4XnC0QNuogLOf9djthBR1c8BtgWvag_dqbdaLggpyRu5c0uWhBXx086-EIMQUkkz7-1ShgpshArTvjBZuyXzgHJ_Rdtm4AzpFFsQ=w1000-h1000-k-no,N/A,false,983,N/A,N/A,N/A
30,Tacos El Master,"Tesistán, Zapopan",4.4,$18–$25 c/taco,Formato de taco grande,"https://www.google.com/maps/place/Tacos+EL+MASTER/@0,-97.0996311,0z/data=!4m10!1m2!2m1!1sTacos+El+Master+Tesist%C3%A1n,+Zapopan+Guadalajara+Jalisco!3m6!1s0x85c51de2ecb30da1:0xf8cc0c5db757e9b0!8m2!3d18.871687!4d-97.0996311!15sCjZUYWNvcyBFbCBNYXN0ZXIgVGVzaXN0w6FuLCBaYXBvcGFuIEd1YWRhbGFqYXJhIEphbGlzY29aNyI1dGFjb3MgZWwgbWFzdGVyIHRlc2lzdMOhbiB6YXBvcGFuIGd1YWRhbGFqYXJhIGphbGlzY2-SAQ90YWNvX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkViVTlFTmtObkVBReABAPoBBAgAECo!16s%2Fg%2F11l6p5jtp4?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","
+52 272 297 4306",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSJfbFAFVuFFIMSV7LcIbgj6XcaccD_h7rGYWLUKeuiM3HKXUNRrWvvFVVUmz1IOOZzEkbVwKjlIaS8KNqAwDR7uwmPeU0Q9lSDWJRull_iHdyc886GL-QaNGqdc7utcclKkMC=w800-h800-k-no,N/A,false,932,N/A,N/A,N/A
23,Tacos Los Pioneros,"Av. Copérnico, Zapopan",4.7,$22–$30 c/taco,Los mejores tacos de labio de la zona,https://www.google.com/maps/search/Tacos%20Los%20Pioneros%20Guadalajara%20Jalisco,"
+52 33 3634 0930",N/A,N/A,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W1HjVyTPuVa30Tjv1SV8tw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.59763&pitch=0&thumbfov=100,N/A,false,859,,,
16,Tacos Juan Providencia,Calle Providencia 2900,4.7,$25–$35 c/taco,Carnaza y suadero de calidad,"https://www.google.com/maps/place/Tacos+Juan+Sao+Paulo/@20.7027255,-103.3954238,15z/data=!4m10!1m2!2m1!1sTacos+Juan+Providencia+Guadalajara!3m6!1s0x8428af2a45f207a1:0xd9add95cfed1f7eb!8m2!3d20.7027255!4d-103.3773994!15sCiJUYWNvcyBKdWFuIFByb3ZpZGVuY2lhIEd1YWRhbGFqYXJhWiQiInRhY29zIGp1YW4gcHJvdmlkZW5jaWEgZ3VhZGFsYWphcmGSAQ90YWNvX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11gymbrwnr?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","
+52 33 2303 9107",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnOXHQvpWEJSFqVYLqKschgdsi1NFuc7WDGQtQZDuC7q3qMXz2Wt6dzAmACiM7UCtEc_a-oYdDl4znt68GIN_RK64on71VHJf3nh6AqzWP0Ih7WoCPzMC1IWi3ZkN8Uq06Ggfu=w800-h800-k-no,N/A,false,784,N/A,N/A,Taquería
25,Tacos Los Gemelos,"Av. Río Nilo, Guadalajara",4.5,$20–$28 c/taco,Muy populares por sus salsas,https://www.google.com/maps/search/Tacos%20Los%20Gemelos%20Guadalajara%20Jalisco,"
+52 33 1327 5972",N/A,https://www.facebook.com/LosGemelos06?mibextid=LQQJ4d,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtav1VVGrSD0aHVBwnT3tMrjTDldFxhedVuiZPg54VMJESwccaH1cfETcmkmgRl2nQaaS0K85-lO4ZBMf6vSMG3HyhpmCMNZ34M6Jo4KBJeinAnVmFeTI8nvQbIZrdCy6jJAG6DsVdpYpN=w1000-h1000-k-no,N/A,false,91,N/A,N/A,N/A
27,Tacos El Rey,Tlaquepaque Centro,4.8,$22–$30 c/taco,Famoso por su suadero,"https://www.google.com/maps/place/Tacos+%22El+Rey%22/@20.634722,-103.2984384,17z/data=!3m1!4b1!4m6!3m5!1s0x8428b32e7af141ef:0xbe13c300d379a6d8!8m2!3d20.634722!4d-103.2984384!16s%2Fg%2F11hfft8n86?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D",N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-JjqUJ-3VUeoS7euSRu7kIhqBP15dQT4rkfCXRsyeQT2tXcfKJw_emmITBkfRoEaecQXIyPKF8aPOwiQfmGesoFGG3L0YQK3ae4OJqtVDX-iUfGc3bq5k9a5_qbp6iv2UjQ=w1000-h1000-k-no,N/A,false,75,N/A,N/A,N/A
20,Tacos Los Gavilanes,Av. López Mateos Sur,4.5,$20–$28 c/taco,Taquería de paso muy concurrida,https://www.google.com/maps/search/Tacos%20Los%20Gavilanes%20Av.%20L%C3%B3pez%20Mateos%20Sur%20Guadalajara,"
+52 33 1030 2579",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhf1bzGFqj0-Jn1VRSN2hhJ4kcf1Rl6a5dhMiorq1EgT0QxCGU8mGN78eBs-PqMYVWXyvuBH2VbhEl6EJeomk6zZQIs1oq18eJb-tX1ghgdPwoMBfDHiiU5oXx2YG0v2kwL5BNOyQkEQF1=w1000-h1000-k-no,N/A,false,23,N/A,N/A,N/A
22,Tacos Los Sauces,Jardines de la Paz,4.5,$20–$28 c/taco,Tradición vecinal de más de 20 años,"https://www.google.com/maps/place/Taquer%C3%ADa+Los+Sauces/@29.0766485,-120.1594363,6z/data=!4m10!1m2!2m1!1sTacos+Los+Sauces+Guadalajara!3m6!1s0x86ce85a30dfc25e7:0xa2a3f6aa10bf723!8m2!3d29.0766485!4d-110.9309207!15sChxUYWNvcyBMb3MgU2F1Y2VzIEd1YWRhbGFqYXJhWh4iHHRhY29zIGxvcyBzYXVjZXMgZ3VhZGFsYWphcmGSAQ90YWNvX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTFlRTFIYldkblJSQULgAQD6AQQIABA3!16s%2Fg%2F11bzz5qqqm?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1O2LKl9Kgt-24E0Rm8726yD08rgHFyidpqSYevNp0-z32zyVrwI40ngonr1HoUKxUvi2Qcn_xH9rNmibV8txvr0CcPDe3i2nWzHnrbP6BDnKdblFggVHywp1hMRjMLgw6JJuztWe-UZC0=w800-h800-k-no,N/A,false,20,N/A,N/A,N/A
