#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Observaciones,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
11,Tortas Ahogadas Héctor,Desayuno ·  · Av. Lapizlázuli 2974,4.5,$100-200,"Las mejores tortas ahogadas, excelente atención y precios justos",https://www.google.com/maps/place/Tortas+Ahogadas+H%C3%A9ctor/data=!4m7!3m6!1s0x8428adc966cc8b05:0x9b3685dde083786d!8m2!3d20.6425536!4d-103.3988244!16s%2Fg%2F1pv1ntwx9!19sChIJBYvMZsmtKIQRbXiD4N2FNps?authuser=0&hl=es-419&rclk=1,"
+52 33 4496 9953","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/Tortas-Ahogadas-Hector-356431884495410/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1CNZOUKhGSEMrF8Q5eo0dCjxlMqkAB3oh2ZIXwM0-CmkXAVgwKM5UgpL8D47h93BnzzotyaI31NW_6t08On3LAO05R2bRIXUqXzQhPQ7Cl7VXl6Rp_eI1v3IWWCWN9rNAorWq=w1000-h1000-k-no,N/A,false,5006,N/A,N/A,Restaurante de desayunos
12,Lonches Luis,Comida rápida ·  · C. José María Narváez 1041,4.6,$1-100,Los lonches son deliciosos pero creo que están algo elevados de precio.,https://www.google.com/maps/place/Lonches+Luis/data=!4m7!3m6!1s0x8428b16517abd597:0x795b01896a7d23da!8m2!3d20.6791911!4d-103.299487!16s%2Fg%2F1pp2x9rqv!19sChIJl9WrF2WxKIQR2iN9aokBW3k?authuser=0&hl=es-419&rclk=1,"
+52 33 3665 3001","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyfhiinONEWDBs1954xis8qOeen4fy8Wx1lb4AyGC13TyVs8floAyASlfF33wWmel7OXEjywHE4UBhPbivaRzdWym_Yc4dJa6fJwIgrYRJbW8a8vWzNR7bH-Gr94wU-v6bxY-W=w1000-h1000-k-no,N/A,false,4832,N/A,N/A,Restaurante de comida rápida
13,La Santa Cruz,Mexicana ·  · Av. Manuel Acuña 2406,4.5,$100-200,"Muy rico su pozole, flautas, tostada de pata, quesadillas, flautas.",https://www.google.com/maps/place/La+Santa+Cruz/data=!4m7!3m6!1s0x8428ae15cee50a6d:0x9eb2b9b1d4d3af17!8m2!3d20.6846578!4d-103.3775243!16s%2Fg%2F1ptx2cr5x!19sChIJbQrlzhWuKIQRF6_T1LG5sp4?authuser=0&hl=es-419&rclk=1,"
+52 33 3342 1637","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.instagram.com/lasantacruzgdl/profilecard/?igsh=dWM5YWVmdnVnenZk,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1EQvpcDMZsz8qqLFasb7rCcHi330CM_hWHz1kuIpqvWCO0Px81qH6mbTePp4tSY03prS5kVe8fFhKIpnCbuRaz9zlUSUv8fMfffj8xAowEx3t5qonEWthNPNv9xjLhWMp0OtT=w1000-h1000-k-no,N/A,false,4816,N/A,N/A,Restaurante mexicano
14,Tortas Toño Providencia,"Av. Rubén Darío 534, Gdl",4.6,$100-200,Favorito del sector empresarial,"https://www.google.com/maps/place/Tortas+To%C3%B1o+Providencia/@20.6964275,-103.3905175,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae459d8ecc3d:0x9ae96165315c0e16!8m2!3d20.6964275!4d-103.3905175!16s%2Fg%2F1tff3bt0?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 3642 8739","Horarios de mayor concurrencia
jueves



EN TIEMPO REALMáxima concurrencia
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.tortastono.com.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkjAb4NZPUqesbiaLWqvWDW-XsLPaPHapoOHOHKYoq-jahjswJ3uX1EDzcjJt8trST_aWHYwNrwMGyDiMoOHkVtwyPZG5uTmTfYLQONll19_r4j4GaRhtrTMm0zElxA74Wc1f7EA=w1000-h1000-k-no,N/A,false,4768,,,
15,Lonches Rubén | Sucursal Matriz,"4.1(4,579) · $100-200",4.1,$100-200,Muy buen lugar para degustar unos ricos lonches de pierna,https://www.google.com/maps/place/Lonches+Rub%C3%A9n+%7C+Sucursal+Matriz/data=!4m7!3m6!1s0x8428b3d11a50de57:0x687c77967d629217!8m2!3d20.661244!4d-103.3044328!16s%2Fg%2F11dd_pd7xc!19sChIJV95QGtGzKIQRF5JifZZ3fGg?authuser=0&hl=es-419&rclk=1,"
+52 33 3643 0354","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALPoco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://lonchesruben.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9CZzQnoqw67rjPuxmiV-JHEsli8znpOT1e3oJ9RK8QzfYn9FKhUgWIF63Vf55ZSwEMYGO6FnsZSHzEyknQiPep_fuSYIV9TAmLNUSRFgcaIeSpsrN4G5f6q6tVe8emgN5mECd=w1000-h1000-k-no,N/A,false,4579,N/A,N/A,Restaurante
16,Tortas Ahogadas Las Famosas,Comida rápida ·  · Av. Patria 2546-A,4.1,$100-200,Tienen una promoción los martes de dos tortas por 100 pesos.,https://www.google.com/maps/place/Tortas+Ahogadas+Las+Famosas/data=!4m7!3m6!1s0x8428ada2ec693973:0xebdd8dd22d7af5c2!8m2!3d20.6258326!4d-103.3834453!16s%2Fg%2F1tcy96hl!19sChIJczlp7KKtKIQRwvV6LdKN3es?authuser=0&hl=es-419&rclk=1,"
+52 33 3663 4309","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeSgLXLndcaotKCAhgUAyaAGS6YdnAHYacsEOiO3KqAb6DZQoP4W9yAUdNQd4YXxRJEwERTHXWo2pbvWNv6C8hqSjKKi4k4v_wejNDtqzyFYuj5fvY0lAWhnbCJBMSeHYMRHNP=w1000-h1000-k-no,N/A,false,4542,N/A,N/A,Restaurante de comida rápida
17,La Antigua (Golfo de Cortés),"4.6(4,369) · $200-300",4.6,$200-300,"Muy bonito lugar, comida muy rica y precios accesibles",https://www.google.com/maps/place/La+Antigua+%28Golfo+de+Cort%C3%A9s%29/data=!4m7!3m6!1s0x8428ae666b3bdb81:0xe97cab8d57aa2c1!8m2!3d20.6803039!4d-103.3943723!16s%2Fg%2F11b8070167!19sChIJgds7a2auKIQRwaJ61bjKlw4?authuser=0&hl=es-419&rclk=1,"
+52 33 3813 1431","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/minalaantigua,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPZ_5K220Nl6_A-lNWV0WcvMMI1_cikFCHZxoCBXslEc8dJ6ly-UuSnsmdb7gHjg5PYCZ9WPfvxC8ObYCPr9-jmcxThIFvh4zwxcOs51c7z5q3ojlS1vvWUqT5F29KUEgmD2LW=w1000-h1000-k-no,N/A,false,4369,N/A,N/A,Restaurante
18,Burritos y Tortas El Rey,Restaurante ·  · Av. de las Américas,4.4,$100-200,"4.4(4,342) · $100-200",https://www.google.com/maps/place/Burritos+y+Tortas+El+Rey/data=!4m7!3m6!1s0x8428afb5b52f34d7:0x240584217ee7f8b4!8m2!3d20.7136054!4d-103.3847215!16s%2Fg%2F1thvyln7!19sChIJ1zQvtbWvKIQRtPjnfiGEBSQ?authuser=0&hl=es-419&rclk=1,"
+52 33 3365 3547","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALUn poco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
3a.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFC7DfGAsUcLb4FlbsxsVULvLSEpLVZEpHdTl09DeJH9Dd6Y7XWBLYnAqzuX9SgyYrO_Tm-FmHsohyhKxfm0Nq8OHo4B59NzDFKVPdVzDNZfU1AKloCwW5DiIZLw9JJlzuNCP-ykWJ2wXO1=w1000-h1000-k-no,N/A,false,4342,N/A,N/A,Restaurante
19,Lonchería Los 3 Alegres Compadres,Restaurante · Calz. Independencia Norte 282,4.3,$100-200,Exelente atención y muy ricos los lonches a precio accesible,https://www.google.com/maps/place/Loncher%C3%ADa+Los+3+Alegres+Compadres/data=!4m7!3m6!1s0x8428b1e55a82c5a5:0x28f27980d28e321c!8m2!3d20.6794321!4d-103.3393286!16s%2Fg%2F1q2wdvqy3!19sChIJpcWCWuWxKIQRHDKO0oB58ig?authuser=0&hl=es-419&rclk=1,"
+52 33 3618 6805","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALUn poco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
3a.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwyvfhAPc6-26x0D7PLDsUpt2oMroThscMB8NxWAERpe01DFpWMX5oAE9ZPtjbeNq_QDn4p9_r-JqsCK6_Q8ohiRhDfpY1461niaMUTExGfb4OW1Jtg94oIMy0drWYbeJGFoON=w1000-h1000-k-no,N/A,false,4196,N/A,N/A,Restaurante
20,Tortas Ahogadas Mr. Paco's,Comida rápida ·  · C. Joaquin Angulo 1452,4.5,$100-200,"Muy buenas tortas, menú variado y excelente si tú equipo son Las Chivas.",https://www.google.com/maps/place/Tortas+Ahogadas+Mr.+Paco%27s/data=!4m7!3m6!1s0x8428af4fd010d671:0x7e0031267fd5f01!8m2!3d20.6822732!4d-103.3683169!16s%2Fg%2F1tctxwhn!19sChIJcdYQ0E-vKIQRAV_9ZxID4Ac?authuser=0&hl=es-419&rclk=1,"
+52 33 3825 5604","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGjUnFZKZ_XbfNyrVGcg4uwNvzcfImZofVuNzhhGndiB-2SkfPRGeuIK1Z0Ez4A6toOmBqaf1vShHybcP7Ht7TRLPGBhqhZmYYdQQZcj9vTQrQiF5PR3rkLa2FTce49qvgz7ELI=w1000-h1000-k-no,N/A,false,4108,N/A,N/A,Restaurante de comida rápida
21,Tortas Ahogadas Güicho,Comida rápida ·  · Calz. Independencia Norte 1105,4.5,$100-200,Muy recomendado a llegar a comer unas deliciosas tortas ahogadas.,https://www.google.com/maps/place/Tortas+Ahogadas+G%C3%BCicho/data=!4m7!3m6!1s0x8428ae1d108f9473:0x7bb86e0a885d4c66!8m2!3d20.6918736!4d-103.3330281!16s%2Fg%2F1tf75v70!19sChIJc5SPEB2uKIQRZkxdiApuuHs?authuser=0&hl=es-419&rclk=1,"
+52 33 1202 5939","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.instagram.com/tortasahogadasguichogdl?igsh=aHQ5bWFyeHp2Y3Zi&utm_source=qr,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOAPfPwrE35yc5U2CtC1PnTTuBU2-hVmqktLhqSFMoXsMzHXlrDB4iEnfK2q7g8kVWaGFpJgOywu05kC0C0S6oj2LY-dWFvV_g0Th29z_ry9m9zlwTn4Lt2khL5LpFw3fyXIN_=w1000-h1000-k-no,N/A,false,3922,N/A,N/A,Restaurante de comida rápida
22,Cremería Atemajac,Tienda de alimentación ·  · Av. 8 de Julio 502,4.6,N/A,"Muy surtida, buenos precios y los lonches deliciosos!!",https://www.google.com/maps/place/Cremer%C3%ADa+Atemajac/data=!4m7!3m6!1s0x8428b1f94bf746df:0xebd8565dd5cc642!8m2!3d20.6697915!4d-103.35266!16s%2Fg%2F1ptvqtd5w!19sChIJ30b3S_mxKIQRQsZc3WWFvQ4?authuser=0&hl=es-419&rclk=1,"
+52 33 3613 2236","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5RD-6Bn4CKOeaswFO7Fj-D3HNKQQHuU1HCAC1IPfZ6ttZy2hqI-yjpKsTPfxWohWG8HVn3UGGrKyWcQmOAJM2Rh3EWPI2JdBow-xBSWbAKrhSEoAM96OXR6bPfZsCOWg85F43-AcxnMaj=w1000-h1000-k-no,N/A,false,3786,N/A,N/A,Tienda de alimentación
23,Tortas Ahogadas Hugo,Comida rápida ·  · Av. Héroe de Nacozari 2265,4.2,$100-200,"Muy buen servicio, exquisitas tortas ahogadas y tacos.",https://www.google.com/maps/place/Tortas+Ahogadas+Hugo/data=!4m7!3m6!1s0x8428b20b7a829b27:0xcab501c51f5fdfa!8m2!3d20.6441698!4d-103.3536071!16s%2Fg%2F1ptw5d9mq!19sChIJJ5uCeguyKIQR-v31URxQqww?authuser=0&hl=es-419&rclk=1,"
+52 33 1386 2406","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.instagram.com/tortashugo_oficial?igsh=NmpyOGdma2J2eHdm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-bl6zDPsNoQ7SjhqRbl-MtQ5tsLboYiYQ533jiUzOEJ_ON0clFHtuzifSkmQdS6Ldd6686Txbkh5oe4L-_6qgv8MARO2yGEhZamN6iV8A-xi-2BKN1X5tiSBeDXmbLVW2Ulbu=w1000-h1000-k-no,N/A,false,3632,N/A,N/A,Restaurante de comida rápida
24,Lonches Amparito,Bocadillo ·  · C. Gerardo Suárez 5,4.1,$1-100,Unos riquísimos lonches tradicionales de carnitas y lomo.,https://www.google.com/maps/place/Lonches+Amparito/data=!4m7!3m6!1s0x8428b1f1c1f0fa13:0xb08b37804f01643d!8m2!3d20.676637!4d-103.3428896!16s%2Fg%2F1tfctjv3!19sChIJE_rwwfGxKIQRPWQBT4A3i7A?authuser=0&hl=es-419&rclk=1,"
+52 33 3613 0143","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGytiAEmP9GsQoYliMGY7Gz6Zuk_FUGLcamHGCEFMquxFLrIUkcJUfeMuCDBiRPPi-I0f95J0_75EPJ_GPbugmxESDHK300AiwDiZjSjc-qUuuxNXs4KZkZjMq8qYFCqvZptgl=w1000-h1000-k-no,N/A,false,3277,N/A,N/A,Bocatería
25,Ahogadas Betos,"Calle Morelos, Guadalajara",4.7,$100-200,Campeona digital en Google Maps,"https://www.google.com/maps/place/Ahogadas+Betos/@20.6893701,-103.3695332,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae22c5089157:0xd5c6dde2b3ca36c6!8m2!3d20.6893701!4d-103.3695332!16s%2Fg%2F1ptx0lc5v?entry=ttu&g_ep=EgoyMDI2MDUxMS4wIKXMDSoASAFQAw%3D%3D","
+52 33 3342 0529","Horarios de mayor concurrencia
jueves



EN TIEMPO REALUn poco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.ahogadasbetos.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIkF_uEpDO_qU4qEy8Z5qwJbig5eYZtIpX12x4D3zn2oi2xX5URvqHS6pmWgKrvLfow3D9_8FW0ApUaTkG21Ns1N0Gb-L1sb3kjwaO33-A1Qed1kNy1Jfe2DdfZE4pQHO6Hb9GkK_sfHjp=w1000-h1000-k-no,N/A,false,3147,,,
26,Famosas tortas ahogadas,"4.0(3,099) · $100-200",4.0,$100-200,"Súper ricas, los jueves tienen tortas de carnitas al 2x1 .",https://www.google.com/maps/place/Famosas+tortas+ahogadas/data=!4m7!3m6!1s0x8428b1fee2641f43:0x125d17e0d7908f5!8m2!3d20.6772212!4d-103.343379!16s%2Fg%2F11fklc4d2b!19sChIJQx9k4v6xKIQR9Qh5DX7RJQE?authuser=0&hl=es-419&rclk=1,N/A,"Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpZq5GvgIxdMGkNumi-viRQoorgqZPb6TBVHZnnVZGHHxuUDxQb2gj9JwLWADkWW5o_Z2AjOHG8kDHkEtag6M4hv9INVvlIOHJtbAnpU2mqG8x8ueNK4MmO4D2sfhcsjRlkTOTew=w1000-h1000-k-no,N/A,false,3099,N/A,N/A,Restaurante mexicano
