#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Perfil de cliente,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
30,Menudería El Tapatío,Av. Niños Héroes,4.3,$80–$110,Café de olla artesanal,"https://www.google.com/maps/place/Menuderia+El+Tapatio/@32.3427277,-126.8131092,6z/data=!4m10!1m2!2m1!1sMenuder%C3%ADa+El+Tapat%C3%ADo+Guadalajara+Jalisco!3m6!1s0x80d931956d1f7df3:0x8327ed64c422400e!8m2!3d32.3427277!4d-117.0572498!15sCipNZW51ZGVyw61hIEVsIFRhcGF0w61vIEd1YWRhbGFqYXJhIEphbGlzY29aLCIqbWVudWRlcsOtYSBlbCB0YXBhdMOtbyBndWFkYWxhamFyYSBqYWxpc2NvkgESbWV4aWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5XY2pocVZHdG5SUkFC4AEA-gEECAAQOw!16s%2Fg%2F11bwyqgk13?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 661 527 0814","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://www.eltapatiotl.com.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdW0-rs6NnRj_i3DyFCx85beK3BMwmbql0h3-uvqzh2jc0WhgjOGB7bAZistGHzL_uJiFrfyizekPb7EO9-X6Bozu6EUy8EujEPCSgbywh-Iq9pdKEsSIrEspns2QFSNXC-TCL=w1000-h1000-k-no,N/A,false,2061,N/A,N/A,N/A
11,Menudería Laura Luis,"Santa Tere, Guadalajara",4.4,$80–$110,Especialistas en callo con patitas,"https://www.google.com/maps/place/Menuderia+Laura/@20.6592824,-103.345721,14z/data=!4m10!1m2!2m1!1sMenuder%C3%ADa+Laura+Luis+Guadalajara!3m6!1s0x8428b3dacfa7efe5:0x921c1eed7ca65e56!8m2!3d20.6521022!4d-103.3125309!15sCiFNZW51ZGVyw61hIExhdXJhIEx1aXMgR3VhZGFsYWphcmFaIyIhbWVudWRlcsOtYSBsYXVyYSBsdWlzIGd1YWRhbGFqYXJhkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS01YQlhZV3hCUlJBQuABAPoBBAgAECo!16s%2Fg%2F11kqkp24f_?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","
+52 33 2923 0605",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGWjMdjt7oQKpZMUFzM4qv7X8mNTu2wK4TKw-jucwExpmPepbWsJmZ4rhigghBG3eThXxe6_F587AYWu4TxSGNlF7MGQjONIDBBmUNoFP9LhREVFacNFgMQjFAmOURX4MXgjdJ=w800-h800-k-no,N/A,false,1274,N/A,N/A,N/A
4,Menudería Luis Ubiarco,Joaquín Angulo 1499,4.3,$80–$110,"1,180+ reseñas; variedad de platos","https://www.google.com/maps/place/Menuder%C3%ADa+Luis+Ubiarco/@20.6821295,-103.3693602,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae19f1b430ad:0xe56fbc3bc34c19f4!8m2!3d20.6821295!4d-103.3693602!16s%2Fg%2F11g8cw91jn?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 2923 0605","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcZacbmV-7-5Fij-Uvw8BvcrcvC86BC0y7XmTrrSQvzhXOJ0Fdg0zWgac83fu-aGmfpPDh_w8ORA1t9cayEGm-EU4AfVPGuYX74J0256ajSwX30XAnqHtpSR0MC00_pRyC-Btlcg=w1000-h1000-k-no,N/A,false,1274,N/A,N/A,N/A
27,Menudería El Recreo,Av. Cruz del Sur,4.4,$75–$100,Local vecinal de alta rotación,"https://www.google.com/maps/place/Menuder%C3%ADa+Banderas+by+Pedro's+Suc+Jard%C3%ADnes+del+sur/@20.6374307,-103.3949408,17z/data=!3m1!4b1!4m6!3m5!1s0x8428adb7c1c39df9:0xd45d1cb622a2ead3!8m2!3d20.6374307!4d-103.3949408!16s%2Fg%2F11cp7l0r1b?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 3507 0197","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE7GF3VZd6jJdYn4cl2h48g7iAOoOKr32hAxeGO0bRxarRFiN0R7yOIOQ4KjfrKya39n4tWOKl6uCyTwP7146bOaysblSpr953_ndFxWk5MUUZVCXQdoURgEN2QKXXsBKk5xD0=w1000-h1000-k-no,N/A,false,478,N/A,N/A,N/A
18,Menudería Luis (Fresno),Calle Fresno 1836,4.5,$75–$100,También ofrece ricas gorditas,"https://www.google.com/maps/place/Restaurant+Menuder%C3%ADa+Luis/@20.6566667,-103.3680556,17z/data=!3m1!4b1!4m6!3m5!1s0x8428adfb1281c863:0xe744eee7a16bd608!8m2!3d20.6566667!4d-103.3680556!16s%2Fg%2F1ptyrpp30?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 1856 9331","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpkKOM0SuujLUnhn3oB3eU7EtTBU762nhLYteBLe7UtZGxAMKpuivC1r2mpPJMzg5iD7f91sp7PaU-NJog0WchAq-6tN39gkKNHaNluz8Uct8OVjJ4iZIGRZg-SSUKJBcGy607Cg=w1000-h1000-k-no,N/A,false,1041,N/A,N/A,N/A
6,Menudería La Estancia,"Lobby 33, Zapopan",4.4,$130–$180,Segmento premium y exclusivo,"https://www.google.com/maps/place/La+Estancia+33+Restaurante+%26+Cantina/@20.7094478,-103.4097295,17z/data=!3m1!4b1!4m6!3m5!1s0x8428af1b783509d5:0x94c6d6176b413bbd!8m2!3d20.7094478!4d-103.4097295!16s%2Fg%2F11rdbt74vr?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 2929 6222","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://app.calisto.ai/la-estancia,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE70LcL3Xm8urURJFIKtb8-dJ-BqtOJqAS0sVFn5VWmlKBeOXkco-4hXOGCHXd7MEpgvZoQdpno8FX7y0BPK5_VaY4Y8ZA_svZI74XAoiWgCuoGA3yA39owG2vrNIPs7WCInj-G=w1000-h1000-k-no,N/A,false,300,N/A,N/A,N/A
5,Familia Doña José,"Av. Tepeyac 6295, Zapopan",4.3,$75–$100,"1,000+ reseñas; precios asequibles","https://www.google.com/maps/place/Menuder%C3%ADa+la+Familia+de+Do%C3%B1a+Jos%C3%A9+(tepeyac)/@20.6522926,-103.4387818,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ac1b59ecd035:0xdc7c4f33bf6275fa!8m2!3d20.6522926!4d-103.4387818!16s%2Fg%2F1tld0h90?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 3125 2560","Horarios de mayor concurrencia
jueves



EN TIEMPO REALMás concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.menuderialafamilia.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlxMwaki1FKMJIKPfBGvho7QUSklVr75Hkd-aSD_gBleseEuU4gTfAA5Dcbbyoeoume7KyJWVXscvXJfjBVJnF_3VU_1Bzg_rjAR8MB8Me7LUhRofWo0OwF2vrqflwxJby-5FM=w1000-h1000-k-no,N/A,false,1384,N/A,N/A,N/A
9,Menudería Chito,Calle Manuel Acuña,4.6,$85–$120,Famoso por sus tacos dorados,"https://www.google.com/maps/place/Menuder%C3%ADa+Chito/@20.6847499,-103.3916982,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae683c629ec3:0x60c717b188b8ffe7!8m2!3d20.6847499!4d-103.3916982!16s%2Fg%2F1q2wlmxv7?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 3640 6082","Horarios de mayor concurrencia
jueves



EN TIEMPO REALMás concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/Menuder%C3%ADa-Chito-Manuel-Acu%C3%B1a-224709147597120/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzf84DT5uPKr73WOBIRRN1y7YCZLIQN7e5lRut36od6siTvJc5c3Ezqkor6uEJfGGEzm62c6QgxZKhV3WNZwx27FKXSoORjJnDST65D0k6vaiV8ZlYsYUsxq2edHGzC7kmlaFAjQ=w1000-h1000-k-no,N/A,false,939,,,
19,Menudería Moni,Pintas de Arriba,4.5,$85–$120,Sabor excepcional (aunque lejano),"https://www.google.com/maps/place/Menuderia+Mony/@20.5747015,-103.3273692,17z/data=!3m1!4b1!4m6!3m5!1s0x8428b2ccd9ebef79:0xc7ac5f40bfbe3706!8m2!3d20.5747015!4d-103.3273692!16s%2Fg%2F11gbxb4c5v?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 3225 2235","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQhgJkPM9F4MIT5WbXPgN5KZtJ-roFHg3YTik0JxVZo0Q--ye5tI35hJ9a4Pn4nm648FsAbTkhYKu9tkxgOsgQBzbRYga9X1SRxU3_DMNrze2IG0_l0yRf1RFzZG9webRBr0hD=w1000-h1000-k-no,N/A,false,919,,,
15,Menudería San Juan,Mercado San Juan de Dios,4.4,$80–$110,Sabor casero y auténtico,"https://www.google.com/maps/place/Mercado+Libertad+-+San+Juan+de+Dios/@20.6750569,-103.3396292,16z/data=!4m10!1m2!2m1!1sMenuder%C3%ADa+San+Juan+Mercado+San+Juan+de+Dios+Guadalajara!3m6!1s0x8428b180f8195c15:0xb3e9373ea5463503!8m2!3d20.6755148!4d-103.3398522!15sCjhNZW51ZGVyw61hIFNhbiBKdWFuIE1lcmNhZG8gU2FuIEp1YW4gZGUgRGlvcyBHdWFkYWxhamFyYVo6IjhtZW51ZGVyw61hIHNhbiBqdWFuIG1lcmNhZG8gc2FuIGp1YW4gZGUgZGlvcyBndWFkYWxhamFyYZIBBm1hcmtldJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeGFhVTVyZUhKU1J6RTJZV3BTTldWcmNETmtSV00xVTJ4bk5VNUdSUkFC4AEA-gEECFgQLA!16s%2Fm%2F05my5ht?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D",N/A,"Horarios de mayor concurrencia
jueves



EN TIEMPO REALPoco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEOfqNfgw3JLUhpO3vfOwuKJDTwctA36YFft2BwK7FNvc7JZ0ApQYAizqZvwsc_XiRXTmy4zo2-WgJ5ZWkacJmi7G16Gw4IjiizqYy9Nzl9weB2PZv7XnJw3H2akXFVuTCIlYw0w=w1000-h1000-k-no,N/A,false,92065,N/A,N/A,Restaurante
23,Menudería Doña Mary,Tlaquepaque Centro,4.6,$80–$110,Tradición de pueblo en la ciudad,"https://www.google.com/maps/place/Menuderia+Do%C3%B1a+Mary/@20.6253038,-103.3193818,14z/data=!3m1!5s0x8428b37322737eb3:0xfb5e0e95af0d4292!4m10!1m2!2m1!1sMenuder%C3%ADa+Do%C3%B1a+Mary+Tlaquepaque+Centro+Guadalajara!3m6!1s0x8428b3134a4e52b5:0xaa27eb83196d5c2b!8m2!3d20.6152817!4d-103.287982!15sCjRNZW51ZGVyw61hIERvw7FhIE1hcnkgVGxhcXVlcGFxdWUgQ2VudHJvIEd1YWRhbGFqYXJhWjYiNG1lbnVkZXLDrWEgZG_DsWEgbWFyeSB0bGFxdWVwYXF1ZSBjZW50cm8gZ3VhZGFsYWphcmGSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0zZG5aRFRVOW5FQUXgAQD6AQQIABAe!16s%2Fg%2F11fng7pcmq?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 3600 1565","Horarios de mayor concurrencia
jueves



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcO0ZsRMyQADd4LVhkiv53WFTT_49yic5OES20LsHJ4ljjq8Mx1-hDyr57ONYizJ5rM--iTzORawemv8s0Gq1VzXW6WLJ3J2ytgbQbxSsRwu2sI265j2gLdnVAluK2VzLqmq9z=w1000-h1000-k-no,N/A,false,72,N/A,N/A,N/A
1,La Menudería,J. Gpe. Montenegro 1745,4.5,$90–$130,800+ reseñas; alta higiene,"https://www.google.com/maps/place/La+Menuder%C3%ADa/@20.6692789,-103.3637153,17z/data=!3m1!4b1!4m6!3m5!1s0x8428ae014597e2a1:0xef2f75527bcab235!8m2!3d20.6692789!4d-103.3637153!16s%2Fg%2F1pv1t75cn?entry=ttu&g_ep=EgoyMDI2MDUxMi4wIKXMDSoASAFQAw%3D%3D","
+52 33 3826 2717",N/A,https://www.instagram.com/explore/locations/346227513/la-menuderia/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEV8qZ-t6VCamgvWmUl_96yju2p7X1oxn8ZFsf4T6-h2JlLhCC5-cuPAhF1cNU5FzAVmwH-0h7jjzGnYgc6egRIi8xVjScrhrr-S6KOcNcTOoA1dhfEWQcHyX9OxzvCtIeFFczlag=w1000-h1000-k-no,N/A,false,862,N/A,N/A,Restaurante mexicano
